Type;Time;Party;Equipment Number;Charge Type;Friendly Fire;Properties;Stream Name;Vulnerability State;Marker Note;Operator;Originator Equipment Number
Hit;2023-05-23T13:23:03.373;RED;1628;ARX-160 (DF);No;Unknow;;Catastrophic kill;;unknown;1511
Hit;2023-05-23T13:23:02.610;RED;1628;ARX-160 (DF);No;Unknow;;Heavy damage;;unknown;1511
Hit;2023-05-23T13:23:01.110;BLUE;1117;ARX-160 (DF);No;Unknow;;Catastrophic kill;;unknown;1628
Hit;2023-05-23T13:23:00.710;RED;1628;ARX-160 (DF);No;Unknow;;Medium damage;;unknown;1511
Hit;2023-05-23T13:23:00.187;BLUE;1117;ARX-160 (DF);No;Unknow;;Heavy damage;;unknown;1628
Hit;2023-05-23T13:22:59.321;BLUE;1117;ARX-160 (DF);No;Unknow;;Medium damage;;unknown;1628
Hit;2023-05-23T13:20:32.750;BLUE;1368;ARX-160 (DF);No;Unknow;;Catastrophic kill;;unknown;1621
Hit;2023-05-23T13:20:32.341;RED;1621;ARX-160 (DF);No;Unknow;;Near miss;;unknown;1368
Hit;2023-05-23T13:20:29.860;RED;1621;ARX-160 (DF);No;Unknow;;Medium damage;;unknown;1368
Hit;2023-05-23T13:20:26.959;RED;1621;ARX-160 (DF);No;Unknow;;Heavy damage;;unknown;1368
Hit;2023-05-23T13:20:25.636;BLUE;1368;ARX-160 (DF);No;Unknow;;Heavy damage;;unknown;1621
Hit;2023-05-23T13:20:18.487;RED;1624;ARX-160 (DF);No;Unknow;;Heavy damage;;unknown;1368
Hit;2023-05-23T13:18:42.465;BLUE;1074;ARX-160 (DF);No;Unknow;;Catastrophic kill;;unknown;1624
Hit;2023-05-23T13:16:46.257;BLUE;1547;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1074
Hit;2023-05-23T13:14:09.432;RED;1636;ARX-160 (DF);No;Unknow;;Heavy damage;;unknown;1278
Hit;2023-05-23T13:14:07.618;RED;1636;ARX-160 (DF);No;Unknow;;Catastrophic kill;;unknown;1546
Hit;2023-05-23T13:13:26.804;RED;1627;ARX-160 (DF);No;Unknow;;Medium damage;;unknown;1560
Hit;2023-05-23T13:11:37.180;BLUE;1052;ARX-160 (DF);No;Unknow;;Catastrophic kill;;unknown;1624
